INFO:root:Namespace(K=3, a_dim=2, alpha='rnn', batch_size=32, clip=150, dataset='BouncingBall_50', device=device(type='cuda'), epochs=90, initial_epochs=20, learning_rate=0.007, model='KVAE', save_every=10, scale=0.3, scheduler_step=100, subdirectory='v1', wandb_on='True', x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 90 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:2615.79612340, 6273.29997574, 98.82790669, -634.97815434, 1829.56388631, 0.007
INFO:root:656.38434369, 1553.08510011, 147.37118987, -43.08760534, 466.94148944, 0.007
INFO:root:516.39992949, 1081.41705361, 147.83381488, -44.14098551, 323.72955167, 0.007
INFO:root:479.29340055, 956.22879825, 144.96787199, -47.45687796, 284.66039563, 0.007
INFO:root:451.64066762, 872.91346731, 139.07199301, -50.69462464, 261.37278388, 0.007
INFO:root:408.71478237, 725.29209015, 134.78158769, -56.34555835, 217.78143369, 0.007
INFO:root:401.70151296, 710.03146809, 128.87329782, -59.81876518, 212.89138920, 0.007
INFO:root:395.57941975, 690.09977771, 124.69250965, -63.85696896, 207.07155974, 0.007
INFO:root:389.71887324, 675.93713146, 121.23500751, -65.70271817, 202.83529585, 0.007
INFO:root:391.62925330, 686.97198447, 118.64063914, -66.89701123, 205.42855922, 0.007
INFO:root:370.14301836, 615.40629976, 116.49039853, -69.03072358, 184.82013746, 0.007
INFO:root:369.74429321, 620.11001373, 113.82993331, -69.88134784, 186.11277975, 0.007
INFO:root:363.23647018, 601.25192436, 110.94279791, -71.91808846, 180.27858953, 0.007
INFO:root:378.00812104, 654.65259217, 107.88363963, -73.72869666, 196.25759635, 0.007
INFO:root:377.71761071, 656.94647022, 105.84488542, -74.78877693, 196.62968114, 0.007
INFO:root:367.34028933, 634.32277820, 101.42656246, -75.61688453, 190.74292303, 0.007
INFO:root:348.75343014, 577.67092585, 100.10822938, -75.34391680, 173.36511648, 0.007
INFO:root:342.30234370, 562.81261274, 98.71071377, -74.74784028, 168.26527842, 0.007
INFO:root:349.34455557, 584.17246572, 97.61089587, -76.48191344, 175.35177515, 0.007
INFO:root:347.60366565, 581.65285633, 97.20878062, -75.89902021, 174.52910910, 0.007
INFO:root:435.20810731, 840.12429635, 97.64896850, -85.52184143, 221.90205607, 0.007
INFO:root:341.20312196, 543.35326935, 99.77350315, -78.42363129, 162.70428506, 0.007
INFO:root:344.91910887, 580.91414939, 94.86295775, -75.78189932, 174.30153418, 0.007
INFO:root:327.49346688, 521.15304118, 94.28320065, -76.86434769, 155.92709691, 0.007
INFO:root:324.42911707, 521.79634590, 93.97299078, -73.91721696, 156.16814972, 0.007
INFO:root:330.44536260, 547.80449079, 92.03320099, -74.07080763, 163.60411752, 0.007
INFO:root:317.21926428, 497.99416103, 91.64907978, -76.17193054, 148.82389895, 0.007
INFO:root:330.38141890, 539.56709280, 89.27362721, -79.23765671, 161.49719569, 0.007
INFO:root:336.84943162, 552.51089186, 87.82262761, -83.27352984, 165.17266010, 0.007
INFO:root:326.85299051, 504.79743481, 87.92414302, -87.48961091, 150.91030126, 0.007
INFO:root:323.36960367, 513.28840744, 87.47679022, -81.90628551, 153.34129411, 0.007
INFO:root:314.37932877, 509.27168731, 86.95292941, -74.64488769, 152.27067605, 0.007
INFO:root:319.72372836, 495.67007077, 89.07119309, -81.95150768, 148.16582426, 0.007
INFO:root:326.27913096, 502.55259131, 89.87772024, -85.63562779, 150.41467708, 0.007
INFO:root:316.35815387, 482.64226479, 89.07313139, -82.49233597, 144.11307234, 0.007
INFO:root:317.32803384, 491.27944791, 87.54504832, -82.39914466, 146.82345032, 0.007
INFO:root:316.42301037, 469.06759566, 88.02448900, -87.67823635, 140.14485280, 0.007
INFO:root:340.13379844, 490.50524766, 87.58368153, -105.39853619, 146.68750311, 0.007
INFO:root:348.79115381, 497.24284450, 86.96567710, -112.65261732, 148.69524379, 0.007
INFO:root:339.68182327, 552.61891203, 84.39182680, -89.50431690, 165.17053718, 0.007
INFO:root:311.70128522, 493.46302203, 84.48181041, -79.18056233, 147.63415722, 0.007
INFO:root:314.82284164, 491.96210922, 82.46307558, -84.77112668, 147.16451424, 0.007
INFO:root:320.16047484, 511.77249301, 81.33174240, -85.29697725, 153.12198479, 0.007
INFO:root:313.92041295, 482.91895212, 82.07538488, -86.96933700, 144.44337352, 0.007
INFO:root:309.31335091, 471.86380569, 82.02983020, -85.72437196, 140.97484953, 0.007
INFO:root:314.93408511, 478.60391294, 79.73874839, -91.61415680, 142.98569348, 0.007
INFO:root:319.19045142, 485.54086498, 80.62801021, -92.90017511, 145.27056768, 0.007
INFO:root:307.57783988, 471.61246680, 82.99040825, -83.10368584, 140.94574499, 0.007
INFO:root:309.20514653, 488.85453048, 78.79520572, -83.75357598, 146.10441905, 0.007
INFO:root:306.89508803, 476.30348721, 77.22105636, -86.78297918, 142.43341021, 0.007
INFO:root:333.18272465, 516.54531141, 75.98262563, -102.23649876, 154.48524942, 0.007
INFO:root:310.97051890, 482.81338909, 78.17069813, -87.95579845, 144.36532316, 0.007
INFO:root:300.23961017, 471.05673937, 79.00431343, -79.91826824, 140.70175535, 0.007
INFO:root:319.06697085, 512.39426242, 78.61665680, -86.73202867, 153.33677421, 0.007
INFO:root:310.58673715, 466.35933224, 81.68171590, -88.99721539, 139.21128452, 0.007
INFO:root:334.09240710, 479.00520257, 81.65361018, -108.73723011, 143.13016491, 0.007
INFO:root:338.80586223, 469.94551116, 80.59156323, -117.23063922, 140.44338090, 0.007
INFO:root:311.95942337, 475.58899626, 82.61284764, -86.66987113, 142.01183718, 0.007
INFO:root:306.60385215, 453.99439915, 82.77699411, -87.62853339, 135.47780031, 0.007
