INFO:root:Namespace(K=3, a_dim=2, alpha='rnn', batch_size=128, clip=150, dataset='BouncingBall', device=device(type='cuda'), epochs=80, learning_rate=0.007, model='KVAE', save_every=10, scale=0.3, subdirectory='v4', wandb_on=True, x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 80 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:1963.31163715, 3949.28365587, 27.25805622, -751.26844783, 1139.15684026, 0.007
INFO:root:389.12450907, 1081.66316088, 45.66400837, -18.96153806, 334.29931814, 0.007
INFO:root:279.77634531, 726.20658585, 49.41482513, -12.49953542, 194.24276598, 0.007
INFO:root:257.99894440, 654.05700452, 46.44801716, -15.33381803, 163.05909555, 0.007
INFO:root:214.44483789, 500.42327417, 47.68700554, -16.63084524, 133.35490050, 0.007
INFO:root:232.17022795, 550.44236871, 46.83603533, -20.20147312, 131.87250886, 0.007
INFO:root:226.62107528, 528.65213650, 46.58441843, -21.44100911, 127.34947523, 0.007
INFO:root:218.50519248, 511.48810181, 46.98628838, -18.07246694, 130.11950210, 0.007
INFO:root:190.40466732, 414.24558673, 47.19145768, -18.93952795, 108.99547809, 0.007
INFO:root:205.85658028, 456.72323396, 46.59438464, -22.24522077, 113.54057220, 0.007
INFO:root:195.97815848, 402.32417124, 47.59680229, -27.68410017, 107.09697018, 0.007
INFO:root:215.25114013, 432.88997370, 47.43881955, -37.94532425, 110.72347820, 0.007
INFO:root:177.23532787, 338.90739364, 50.09419994, -25.46890574, 95.00263190, 0.007
INFO:root:201.71284282, 426.51126157, 48.72140474, -25.03805435, 107.19348265, 0.007
INFO:root:209.45000802, 431.66903783, 49.25625200, -30.69303794, 109.30345468, 0.007
INFO:root:195.28905132, 407.57001138, 49.16549369, -23.85255000, 107.23594424, 0.007
INFO:root:169.80059564, 303.23080908, 50.30505753, -28.52629197, 85.19607520, 0.007
INFO:root:193.39622461, 385.56792691, 49.54850050, -28.17734192, 96.94451436, 0.007
INFO:root:186.25307331, 378.19171316, 47.70401522, -25.09153855, 98.43450556, 0.007
INFO:root:194.31158182, 424.21941888, 46.18836019, -20.85738967, 107.60544692, 0.007
INFO:root:178.34386256, 375.73618519, 45.70830439, -19.91469811, 97.09974163, 0.007
INFO:root:170.89831394, 350.36010028, 44.70439660, -21.08588337, 92.97346159, 0.007
INFO:root:187.03059823, 350.15317468, 44.21482661, -37.76981510, 93.94349048, 0.007
INFO:root:182.64348688, 339.85137476, 45.60042321, -35.08764753, 92.53958647, 0.007
