INFO:root:Namespace(K=7, a_dim=2, alpha='rnn', batch_size=128, clip=150, dataset='MovingMNIST', device=device(type='cuda'), epochs=90, initial_epochs=10, learning_rate=0.007, lstm_layers=1, model='KVAE', save_every=10, scale=1000.0, scheduler_step=20, subdirectory='v2', wandb_on='True', x_dim=1, z_dim=5)
INFO:root:Starting KVAE training for 90 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:42446946.22288912, 42444.79672370, -26.04635994, -2175.44119900, 15093.70817458, 0.007
INFO:root:25399750.66160164, 25398.94952135, -27.83042486, -829.16864389, 9512.11951887, 0.007
INFO:root:17138889.16941624, 17138.38319762, -27.19249325, -533.33843032, 4619.52199329, 0.007
INFO:root:13623477.93485118, 13623.14504016, -26.14173690, -359.10386527, 3835.30885852, 0.007
INFO:root:13874622.02590260, 13874.37918134, -23.95714488, -266.87097303, 4258.68133115, 0.007
INFO:root:12895314.27645526, 12895.11615592, -21.84996688, -219.92434258, 3886.38272653, 0.007
INFO:root:12508608.69898810, 12508.41215064, -21.60054175, -218.19194584, 3776.09292817, 0.007
INFO:root:12775560.16726819, 12775.37974527, -19.37629216, -199.85740903, 4102.19144751, 0.007
INFO:root:12495159.00301082, 12495.05189536, -17.45839522, -124.48188406, 3982.55612140, 0.007
INFO:root:13221197.31287751, 13221.13347271, -15.99675826, -79.86217329, 4318.62791937, 0.007
INFO:root:15929633.30233238, 15929.60633528, -12.17261743, -39.14740281, 5657.29018005, 0.007
INFO:root:13338013.35106938, 13338.00380997, -10.17564674, -19.68909755, 5810.36199865, 0.007
INFO:root:13445960.71594818, 13445.95257482, -3.55333368, -11.68777916, 6295.99680898, 0.007
INFO:root:14164054.70800266, 14164.03995654, 2.12920325, -12.60941111, 6971.44094548, 0.007
INFO:root:17263829.05788644, 17263.81525088, 2.52470481, -11.38183011, 9703.25065333, 0.007
INFO:root:19167751.25804743, 19167.73899648, 2.46697777, -9.76508968, 11134.09268403, 0.007
INFO:root:16300585.60355028, 16300.57640570, 1.80893988, -7.43453620, 10154.29986658, 0.007
INFO:root:17072782.08814280, 17072.76830711, 7.13997124, -6.56701605, 10910.73627311, 0.007
INFO:root:21940310.28455923, 21940.30051992, 2.59874701, -7.14371417, 15592.01493728, 0.007
INFO:root:23817534.18481991, 23817.52060409, 3.96418158, -9.52284808, 17340.72657625, 0.007
INFO:root:22332949.49519654, 22332.94070478, 0.78228088, -8.04449230, 17814.42610448, 0.007
INFO:root:22633960.50366934, 22633.95093805, 2.94377806, -6.61634540, 19558.01192507, 0.0059499999999999996
INFO:root:22386096.09775721, 22386.08474087, 7.95029848, -3.29494031, 19988.31833187, 0.0059499999999999996
INFO:root:21149407.37985755, 21149.39509518, 11.57054376, -0.71788572, 18285.82016120, 0.0059499999999999996
INFO:root:19944578.69354000, 19944.57089018, 9.49676434, 1.61631916, 17555.28159386, 0.0059499999999999996
INFO:root:20344890.56963038, 20344.87453235, 8.27359337, -7.89357404, 18306.11970456, 0.0059499999999999996
INFO:root:19377083.62550958, 19377.06695643, 7.32740788, -9.49874901, 18071.03661422, 0.0059499999999999996
INFO:root:18616815.61791671, 18616.80166153, 7.52483506, -6.36439558, 17122.82529159, 0.0059499999999999996
INFO:root:19793308.69497972, 19793.29002531, 14.66561515, -4.00483887, 18637.82522282, 0.0059499999999999996
INFO:root:22797566.82736295, 22797.54739767, 15.71643794, -3.64426437, 21831.91545169, 0.0059499999999999996
INFO:root:20466908.10173125, 20466.89589294, 13.60431679, 1.44756453, 18892.55144146, 0.0059499999999999996
INFO:root:21959897.84210977, 21959.88819047, 14.39224719, 4.81986206, 21843.83160486, 0.0059499999999999996
INFO:root:23494231.52171716, 23494.21403224, 11.98909443, -5.43721012, 23951.78662797, 0.0059499999999999996
INFO:root:23048644.22403034, 23048.63477938, 9.25551398, -0.20994583, 22579.27544564, 0.0059499999999999996
INFO:root:26083370.87578532, 26083.36004897, 12.79201083, 1.61717242, 26824.67646897, 0.0059499999999999996
INFO:root:24748161.30996692, 24748.15166978, 13.40598880, 3.60552605, 28320.81128961, 0.0059499999999999996
INFO:root:26981114.98288238, 26981.10500110, 2.25136038, -7.58851619, 28302.65122964, 0.0059499999999999996
INFO:root:29405104.36136707, 29405.09399758, 9.23290045, -1.16418397, 34315.87252421, 0.0059499999999999996
INFO:root:33567592.98911990, 33567.58225132, 12.92075950, 2.01088010, 44562.70881932, 0.0059499999999999996
INFO:root:31809334.32999006, 31809.32826254, 13.29733843, 6.96578459, 40789.32701089, 0.0059499999999999996
INFO:root:31847495.47829733, 31847.48423746, 14.96643272, 4.05691394, 43461.86947073, 0.0059499999999999996
INFO:root:34657585.97038826, 34657.58049076, 8.81951917, 3.35355540, 42086.20491307, 0.0050574999999999995
INFO:root:34202420.05743827, 34202.40718530, 14.00865308, 0.95664623, 46652.27497799, 0.0050574999999999995
INFO:root:31720792.41945965, 31720.76159496, 18.07561324, -12.92650191, 44340.05097381, 0.0050574999999999995
INFO:root:34268774.80429651, 34268.76089349, 11.26575450, -2.45218383, 52457.38405040, 0.0050574999999999995
INFO:root:36916428.22611250, 36916.41579555, 10.81422068, -1.60639419, 49627.28697183, 0.0050574999999999995
INFO:root:33500689.60981040, 33500.68010013, 10.54994795, 0.92540087, 38869.96924516, 0.0050574999999999995
INFO:root:30638197.59194800, 30638.18800891, 12.82376747, 3.07002383, 37362.91131162, 0.0050574999999999995
INFO:root:32682645.00371259, 32682.62969025, 11.73133919, -3.49667032, 45583.35640405, 0.0050574999999999995
