INFO:root:Namespace(K=3, a_dim=2, alpha='rnn', batch_size=32, clip=150, dataset='BouncingBall_50', device=device(type='cuda'), epochs=90, initial_epochs=10, learning_rate=0.007, lstm_layers=2, model='KVAE', save_every=10, scale=0.3, scheduler_step=10, subdirectory='v2', wandb_on='True', x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 90 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:2540.02024860, 6082.82719042, 101.89201025, -613.28000994, 1762.42728011, 0.007
INFO:root:610.76171050, 1390.36530979, 146.79037456, -46.86172827, 416.11645333, 0.007
INFO:root:496.06653658, 1022.52350437, 147.39251242, -41.91695982, 307.13767792, 0.007
INFO:root:440.97875341, 835.74819499, 143.28990237, -46.96438410, 251.05919535, 0.007
INFO:root:416.12599895, 752.11323888, 139.03688691, -51.45513181, 225.68767067, 0.007
INFO:root:428.72500320, 802.79884756, 133.69594239, -54.18939502, 239.68836722, 0.007
INFO:root:419.44065870, 773.93152322, 129.72652727, -57.53466606, 230.04049508, 0.007
INFO:root:384.40292399, 654.86579691, 128.33334545, -59.60983084, 196.36112859, 0.007
INFO:root:378.19878439, 639.53420107, 122.27535870, -64.06315825, 190.98529840, 0.007
INFO:root:376.44116892, 636.21376183, 118.45739654, -67.11963747, 189.96921165, 0.007
INFO:root:490.23241613, 1060.25863784, 110.54482184, -61.60998991, 271.11366272, 0.007
INFO:root:338.99353477, 544.38956621, 111.24536575, -64.43129388, 161.91711931, 0.0059499999999999996
INFO:root:332.20260327, 552.51806621, 106.44180434, -60.00537263, 164.20606577, 0.0059499999999999996
INFO:root:324.75378476, 532.80298707, 101.30224206, -63.61063982, 158.71763203, 0.0059499999999999996
INFO:root:333.66795287, 511.31266211, 98.02440162, -82.24974542, 152.16265791, 0.0059499999999999996
INFO:root:325.55514184, 505.12528263, 96.96736835, -77.05018332, 150.33125849, 0.0059499999999999996
INFO:root:331.14837704, 529.75027991, 92.55307114, -79.67021645, 157.90819438, 0.0059499999999999996
INFO:root:319.30011105, 504.90776771, 92.80878643, -75.01898710, 150.43235536, 0.0059499999999999996
INFO:root:316.97482513, 498.95954458, 92.69412402, -74.59283281, 148.66233903, 0.0059499999999999996
INFO:root:317.84484277, 506.99762391, 91.08396173, -74.66158743, 151.14937635, 0.0059499999999999996
INFO:root:310.38228560, 488.36947243, 92.26859133, -71.60284595, 145.52879494, 0.0059499999999999996
INFO:root:301.81899647, 465.18276006, 90.75550245, -71.50866050, 138.40563323, 0.0050574999999999995
INFO:root:305.17798735, 465.10754045, 89.84777521, -75.79794389, 138.41171998, 0.0050574999999999995
INFO:root:321.42192186, 461.11947088, 90.96752905, -92.11854613, 137.19109651, 0.0050574999999999995
INFO:root:310.25541173, 461.95943203, 91.26143442, -80.40614125, 137.58832492, 0.0050574999999999995
INFO:root:300.49836497, 455.91102085, 88.50523624, -75.21981685, 135.65524516, 0.0050574999999999995
INFO:root:298.28197463, 459.32826942, 87.89957608, -72.58391273, 136.76309782, 0.0050574999999999995
INFO:root:299.09050070, 457.94669570, 88.24934737, -73.45713820, 136.24104134, 0.0050574999999999995
INFO:root:294.50262081, 445.91502429, 88.22369671, -72.50441124, 132.53199734, 0.0050574999999999995
INFO:root:296.12960098, 446.76614166, 88.35374596, -73.74600678, 132.87855175, 0.0050574999999999995
