INFO:root:Namespace(K=3, a_dim=2, alpha='rnn', batch_size=32, clip=150, dataset='BouncingBall_50', device=device(type='cuda'), epochs=90, initial_epochs=10, learning_rate=0.007, lstm_layers=2, model='KVAE', save_every=10, scale=0.3, scheduler_step=100, subdirectory='v2', wandb_on='True', x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 90 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:2558.32042643, 6146.73270334, 98.71716562, -615.58335966, 1782.05283973, 0.007
INFO:root:634.43853168, 1479.99818372, 144.08733499, -46.35172277, 443.14610378, 0.007
INFO:root:492.06444833, 1011.57145895, 145.69499347, -42.89800527, 304.16794193, 0.007
INFO:root:442.89373742, 844.24721649, 141.91804048, -47.70152236, 253.25041432, 0.007
INFO:root:427.83406947, 795.21744571, 138.50156412, -50.76726221, 238.09678261, 0.007
INFO:root:407.70113643, 724.72280398, 135.05906425, -55.22522218, 216.44186168, 0.007
INFO:root:390.11260965, 667.34674578, 130.37730087, -59.53127448, 199.68582464, 0.007
INFO:root:388.49426859, 671.62176514, 126.15898565, -60.84874581, 200.56768031, 0.007
INFO:root:383.55187603, 659.97070157, 120.77168395, -64.78897429, 197.28532478, 0.007
INFO:root:381.44431026, 656.15555023, 117.95840459, -66.63923205, 195.89330802, 0.007
INFO:root:490.86048953, 1055.31037971, 113.37316243, -60.89419745, 261.53768075, 0.007
INFO:root:354.55339870, 595.91674338, 111.09426904, -64.68410062, 177.97114602, 0.007
INFO:root:347.07385245, 603.93763743, 106.42214018, -59.47041282, 179.79076546, 0.007
INFO:root:332.42119273, 548.75976971, 101.50128767, -66.29196867, 163.72401448, 0.007
INFO:root:354.28246037, 561.25997070, 97.36448786, -88.53997498, 167.57303683, 0.007
INFO:root:349.11168957, 588.34842910, 97.43915223, -75.16800188, 175.10974141, 0.007
INFO:root:330.67600421, 522.54018193, 97.22404810, -76.68989583, 156.17839565, 0.007
INFO:root:338.92589354, 548.77516728, 96.42328357, -77.87005318, 164.30586233, 0.007
INFO:root:327.98366755, 523.13553245, 94.58291922, -76.46008232, 156.36765809, 0.007
INFO:root:327.20879976, 539.93850144, 92.83942316, -72.38781976, 161.29077226, 0.007
