INFO:root:Namespace(a_dim=4, batch_size=128, clip=150, dataset='MovingMNIST', device=device(type='cuda'), epochs=200, learning_rate=0.001, lstm_layers=1, model='Enc_Dec', save_every=10, scale=0.3, scheduler_step=100, subdirectory='v2', wandb_on='True')
INFO:root:Starting Encoder-Decoder training for 200 epochs.
INFO:root:Reconstruction Loss, MSE
INFO:root:12699.15156663, 3865.63903465, 0.001
INFO:root:6471.02788705, 1880.44949728, 0.001
INFO:root:5190.28466797, 1540.37071378, 0.001
INFO:root:4812.95346198, 1461.18228708, 0.001
INFO:root:4638.32769174, 1433.95220002, 0.001
INFO:root:4530.91631134, 1418.14058546, 0.001
INFO:root:4427.41050699, 1402.84651463, 0.001
INFO:root:4338.20593090, 1388.31947520, 0.001
INFO:root:4269.36046504, 1374.35549454, 0.001
INFO:root:4219.89201076, 1364.31597471, 0.001
INFO:root:4179.61765515, 1354.91766100, 0.001
INFO:root:4151.26623019, 1348.37204280, 0.001
INFO:root:4126.10230180, 1342.69165899, 0.001
INFO:root:4101.93201887, 1336.62165768, 0.001
INFO:root:4087.43599389, 1333.58776684, 0.001
INFO:root:4072.45881244, 1330.02852663, 0.001
INFO:root:4059.29541703, 1327.04353612, 0.001
INFO:root:4047.43728681, 1324.14325209, 0.001
INFO:root:4037.95286367, 1321.67164289, 0.001
INFO:root:4030.05724582, 1320.46587705, 0.001
INFO:root:4022.00635453, 1318.22998563, 0.001
INFO:root:4008.31782639, 1314.84438786, 0.001
INFO:root:4001.76522268, 1313.33194357, 0.001
INFO:root:3996.33409097, 1311.88008741, 0.001
INFO:root:3987.40579954, 1309.72380818, 0.001
INFO:root:3983.62920541, 1308.92241314, 0.001
INFO:root:3972.88249271, 1305.96895116, 0.001
INFO:root:3967.38457650, 1305.01719128, 0.001
INFO:root:3965.13294661, 1304.29132338, 0.001
INFO:root:3959.62221817, 1303.08922996, 0.001
INFO:root:3955.70254044, 1302.13692335, 0.001
INFO:root:3950.14391918, 1300.71385171, 0.001
INFO:root:3944.80906828, 1299.49372971, 0.001
INFO:root:3947.68267564, 1300.20009044, 0.001
INFO:root:3936.24365922, 1296.85555300, 0.001
INFO:root:3936.30565375, 1297.27109066, 0.001
INFO:root:3934.18127613, 1296.63835209, 0.001
INFO:root:3930.62038540, 1295.50345064, 0.001
INFO:root:3927.37899565, 1294.78454074, 0.001
INFO:root:3923.90446881, 1294.07549963, 0.001
INFO:root:3920.54773809, 1293.25767324, 0.001
INFO:root:3919.75771966, 1293.00097312, 0.001
INFO:root:3915.43409235, 1291.81654379, 0.001
INFO:root:3913.77766010, 1291.64878652, 0.001
INFO:root:3912.08751926, 1290.86243020, 0.001
INFO:root:3909.48673044, 1290.51029345, 0.001
INFO:root:3909.34427954, 1290.59691867, 0.001
INFO:root:3902.89360971, 1288.66390089, 0.001
INFO:root:3905.10215394, 1289.21126761, 0.001
INFO:root:3902.64744718, 1288.57984774, 0.001
INFO:root:3896.52912151, 1286.94866342, 0.001
INFO:root:3898.44368948, 1287.57774847, 0.001
INFO:root:3890.13263025, 1285.27489891, 0.001
INFO:root:3893.83016753, 1286.27904758, 0.001
INFO:root:3889.60540686, 1285.44324074, 0.001
INFO:root:3889.35363941, 1285.21565698, 0.001
INFO:root:3889.57427033, 1285.28336474, 0.001
INFO:root:3885.67238735, 1284.21399098, 0.001
INFO:root:3883.63573187, 1283.61364746, 0.001
INFO:root:3882.82538787, 1283.28231081, 0.001
INFO:root:3880.77218241, 1282.80990730, 0.001
INFO:root:3879.72544495, 1282.67968578, 0.001
INFO:root:3873.32034345, 1280.65837506, 0.001
INFO:root:3877.67514167, 1282.17716873, 0.001
INFO:root:3878.60033148, 1282.56500330, 0.001
INFO:root:3880.05689852, 1283.17317823, 0.001
INFO:root:3875.14596858, 1281.31559302, 0.001
INFO:root:3870.86250069, 1280.49369361, 0.001
INFO:root:3871.20878150, 1280.43184694, 0.001
INFO:root:3868.49832540, 1279.66647984, 0.001
INFO:root:3870.99995874, 1280.42153458, 0.001
INFO:root:3864.88828675, 1278.70078503, 0.001
INFO:root:3867.15092361, 1279.41858770, 0.001
INFO:root:3863.50528513, 1278.41969321, 0.001
INFO:root:3864.83635357, 1278.66462299, 0.001
INFO:root:3863.56688765, 1278.70395542, 0.001
INFO:root:3858.28931352, 1276.87173161, 0.001
INFO:root:3861.53741541, 1278.04503363, 0.001
INFO:root:3861.93391010, 1278.25635625, 0.001
INFO:root:3859.71636705, 1277.33905115, 0.001
INFO:root:3857.34175905, 1276.62040259, 0.001
INFO:root:3856.61227374, 1276.47707485, 0.001
INFO:root:3854.50556709, 1276.12557940, 0.001
INFO:root:3854.03256355, 1275.78444102, 0.001
INFO:root:3854.46593379, 1276.13467794, 0.001
INFO:root:3850.22872882, 1274.51874897, 0.001
INFO:root:3855.17925767, 1276.47435492, 0.001
INFO:root:3851.52039434, 1275.44891443, 0.001
INFO:root:3850.88878535, 1275.08630887, 0.001
INFO:root:3848.59468874, 1274.64341886, 0.001
INFO:root:3847.88699728, 1274.48278809, 0.001
INFO:root:3851.03083737, 1275.27791284, 0.001
INFO:root:3850.68456344, 1275.20985606, 0.001
INFO:root:3847.80937087, 1274.16244980, 0.001
INFO:root:3851.48848069, 1275.48298237, 0.001
INFO:root:3847.63540864, 1274.15266354, 0.001
INFO:root:3845.15082045, 1273.63335064, 0.001
INFO:root:3844.91022846, 1273.63795837, 0.001
INFO:root:3842.20587588, 1272.97378239, 0.001
INFO:root:3843.47776945, 1272.93466659, 0.001
INFO:root:3840.10871823, 1272.22868584, 0.001
INFO:root:3837.78708874, 1271.56252751, 0.00085
INFO:root:3836.60447843, 1271.43505859, 0.00085
INFO:root:3836.69892303, 1271.39745750, 0.00085
INFO:root:3835.52086199, 1270.97737745, 0.00085
INFO:root:3834.65798993, 1270.82320608, 0.00085
INFO:root:3833.96416635, 1270.40998432, 0.00085
INFO:root:3834.54608412, 1270.90397537, 0.00085
INFO:root:3830.79644517, 1269.74596136, 0.00085
INFO:root:3831.36034812, 1269.81057438, 0.00085
INFO:root:3827.95790465, 1268.94626155, 0.00085
INFO:root:3831.13922205, 1269.84406119, 0.00085
INFO:root:3830.32594493, 1269.63000316, 0.00085
INFO:root:3829.41378741, 1269.31425369, 0.00085
INFO:root:3830.21783189, 1269.61132469, 0.00085
INFO:root:3827.10177913, 1268.83433511, 0.00085
INFO:root:3826.07132001, 1268.42518465, 0.00085
INFO:root:3828.46641519, 1269.00390797, 0.00085
INFO:root:3826.84124670, 1268.81203063, 0.00085
INFO:root:3824.91380804, 1268.08839266, 0.00085
INFO:root:3826.82730661, 1268.77873638, 0.00085
INFO:root:3825.59944432, 1268.51389882, 0.00085
INFO:root:3826.16958489, 1268.72423801, 0.00085
INFO:root:3823.28524565, 1267.77598378, 0.00085
