INFO:root:Namespace(K=7, a_dim=2, alpha='rnn', batch_size=128, clip=150, dataset='MovingMNIST', device=device(type='cuda'), epochs=40, initial_epochs=0, learning_rate=0.007, lstm_layers=1, model='KVAE', save_every=10, scale=1.0, scheduler_step=20, subdirectory='v3', train_reconstruction='True', wandb_on='True', x_dim=1, z_dim=5)
INFO:root:Starting KVAE training for 40 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:46821.36369710, 44866.94142000, -25.56195646, -1979.98389682, 15104.27476652, 0.007
INFO:root:24488.32125265, 24072.85827465, -22.17018243, -437.63314746, 8618.53305870, 0.007
INFO:root:18325.49587452, 18162.34879787, -18.25267706, -181.39980003, 5295.42923704, 0.007
INFO:root:14789.34438163, 14682.09720235, -14.51619472, -121.76343697, 4060.85940939, 0.007
INFO:root:16075.95077953, 16017.42175121, -11.35565998, -69.88464837, 5005.56851411, 0.007
INFO:root:14241.93690571, 14184.90900088, -9.44257798, -66.47042518, 4375.55076406, 0.007
INFO:root:14359.04399213, 14315.37751706, -8.28223473, -51.94871539, 4785.31893018, 0.007
INFO:root:16041.43622784, 16009.17821578, -5.80618807, -38.06415753, 6146.12247607, 0.007
INFO:root:15304.68812714, 15278.58856459, -6.06814047, -32.16764684, 5862.15556228, 0.007
INFO:root:16793.76769397, 16768.77676607, -5.97415228, -30.96517966, 7011.87415067, 0.007
INFO:root:16089.08178031, 16066.60898988, -6.85625535, -29.32901567, 7148.68109045, 0.007
INFO:root:20129.44196456, 20106.69880612, -5.56585591, -28.30906954, 11466.62484182, 0.007
INFO:root:22302.11378635, 22281.35545500, -4.67975515, -25.43808762, 13226.17665122, 0.007
INFO:root:21917.88554303, 21899.21514635, -3.76856517, -22.43897888, 13371.69968296, 0.007
INFO:root:22972.10684040, 22957.75690471, -5.93353112, -20.28350193, 14847.93849032, 0.007
INFO:root:27969.43226584, 27955.24154104, -4.05957673, -18.25028135, 26581.06679825, 0.007
INFO:root:31535.78315753, 31521.43227333, -4.01426838, -18.36509250, 24725.99316062, 0.007
INFO:root:28634.73473074, 28621.53577520, -7.40082674, -20.59973129, 25695.58620571, 0.007
INFO:root:34601.34128719, 34588.75988941, -3.97795910, -16.55939073, 42583.68009325, 0.007
INFO:root:46438.63586236, 46425.83317287, -6.01769001, -18.82008881, 69279.42838083, 0.007
INFO:root:45989.88336837, 45977.26682163, -5.75925870, -18.37563840, 65194.44042969, 0.007
INFO:root:46838.44708124, 46824.74837698, -2.26754564, -15.96636491, 69310.59699604, 0.0059499999999999996
