INFO:root:Namespace(K=3, a_dim=2, alpha='rnn', batch_size=128, clip=150, dataset='BouncingBall', device=device(type='cuda'), epochs=80, learning_rate=0.007, model='KVAE', save_every=10, scale=0.3, subdirectory='v3', wandb_on=True, x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 80 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:1962.58773738, 3949.31778765, 27.26252516, -750.52983626, 1139.15587027, 0.007
INFO:root:392.37067925, 1096.97914954, 44.92695562, -18.34996457, 338.64018810, 0.007
INFO:root:209.62227138, 489.80226348, 50.84134471, -11.84024106, 145.98545335, 0.007
INFO:root:168.46091630, 351.53123996, 50.25254411, -12.74899644, 105.60631358, 0.007
INFO:root:153.94077665, 297.10034836, 49.69102971, -15.11963882, 89.01964917, 0.007
INFO:root:150.73721337, 278.09771902, 49.33642935, -17.97146543, 83.30875822, 0.007
INFO:root:146.70707898, 264.30995333, 48.59660764, -18.81748201, 79.15847238, 0.007
INFO:root:140.28507544, 245.87357031, 47.48962306, -19.03337852, 73.83558800, 0.007
INFO:root:147.05854513, 273.30454805, 46.39815980, -18.66901779, 80.94718194, 0.007
INFO:root:143.77097863, 264.29382324, 46.09677061, -18.38605858, 79.24808121, 0.007
INFO:root:155.03822906, 294.38218747, 44.36504074, -22.35852833, 88.38293901, 0.007
INFO:root:160.73744884, 280.48762493, 45.20748433, -31.38367372, 84.60810804, 0.007
INFO:root:151.56897938, 235.07158980, 45.16106598, -35.88643375, 70.63951318, 0.007
INFO:root:146.40923948, 220.77202481, 45.11233979, -35.06528889, 66.35501074, 0.007
INFO:root:147.98888780, 221.82431610, 43.57549638, -37.86609376, 66.73919769, 0.007
INFO:root:149.00425025, 228.16273170, 42.73455110, -37.82087688, 68.59421945, 0.007
INFO:root:146.65343757, 232.70759312, 42.14195068, -34.69920602, 69.99189473, 0.007
INFO:root:155.56172310, 265.92653936, 40.80638089, -34.97737763, 79.47053214, 0.007
INFO:root:156.28153179, 265.70871397, 41.25415961, -35.31475462, 79.08390277, 0.007
INFO:root:149.17311858, 245.06098880, 41.47662011, -34.17819879, 73.70768125, 0.007
INFO:root:140.76855953, 214.34675579, 42.30706642, -34.15746328, 64.25097734, 0.007
INFO:root:136.82395445, 200.77162615, 41.47556551, -35.11689848, 60.09542629, 0.0059499999999999996
INFO:root:143.50698762, 200.69015464, 40.26364643, -43.03629241, 60.14670505, 0.0059499999999999996
INFO:root:138.06477385, 199.21543691, 39.42478262, -38.87535723, 59.69019462, 0.0059499999999999996
INFO:root:139.44641579, 200.38872518, 39.17846569, -40.15133051, 59.99758510, 0.0059499999999999996
INFO:root:148.13654546, 200.66783046, 39.22151701, -48.71467635, 60.07220469, 0.0059499999999999996
INFO:root:149.79933290, 200.74908582, 38.25861011, -51.31599492, 60.16928965, 0.0059499999999999996
INFO:root:137.66984458, 211.11169492, 37.63769338, -36.69864043, 63.20100306, 0.0059499999999999996
INFO:root:153.97932919, 275.68107450, 35.50947199, -35.76553192, 83.20873347, 0.0059499999999999996
INFO:root:142.54619515, 219.38489156, 36.39466728, -40.33605796, 65.82010945, 0.0059499999999999996
INFO:root:135.92310699, 191.14438310, 38.12316030, -40.45662977, 57.15356972, 0.0059499999999999996
INFO:root:132.56332869, 189.68025999, 37.55801073, -38.10123770, 56.71365917, 0.0059499999999999996
INFO:root:136.89035319, 196.45165436, 37.12999189, -40.82486247, 58.78034244, 0.0059499999999999996
INFO:root:136.65856320, 200.13297629, 36.75289391, -39.86577408, 59.79289154, 0.0059499999999999996
INFO:root:131.66993302, 184.04856293, 37.23171625, -39.22364541, 54.98721859, 0.0059499999999999996
INFO:root:136.80720808, 184.00032893, 37.39894944, -44.20815788, 54.94222129, 0.0059499999999999996
INFO:root:129.93770573, 193.79982941, 37.08530151, -34.71245278, 57.99011964, 0.0059499999999999996
INFO:root:127.55545110, 188.11292470, 36.02709550, -35.09447526, 56.26764128, 0.0059499999999999996
INFO:root:125.95112871, 186.74181549, 35.30895900, -34.61962273, 55.89643942, 0.0059499999999999996
INFO:root:125.94450573, 190.46672715, 34.56724997, -34.23723536, 56.98483571, 0.0059499999999999996
INFO:root:125.59152641, 186.63835105, 34.41774083, -35.18227806, 55.84702750, 0.0059499999999999996
INFO:root:122.19593848, 177.40426636, 34.56272550, -34.41193060, 52.94461567, 0.0050574999999999995
INFO:root:123.47670380, 175.72309161, 34.78392241, -35.97585162, 52.44140244, 0.0050574999999999995
INFO:root:125.79361312, 183.26484371, 34.33887397, -36.47528436, 54.73182475, 0.0050574999999999995
INFO:root:125.13416254, 179.96335921, 34.78633190, -36.35882001, 53.72569087, 0.0050574999999999995
INFO:root:125.59698435, 179.67718854, 35.44951572, -36.24430999, 53.66770631, 0.0050574999999999995
INFO:root:131.00876964, 184.95276806, 35.69460495, -39.82833166, 55.27513181, 0.0050574999999999995
INFO:root:130.11270486, 181.56952059, 35.74979241, -39.89205379, 54.25532469, 0.0050574999999999995
INFO:root:123.19272130, 179.24971742, 35.41531681, -34.00248650, 53.55490880, 0.0050574999999999995
INFO:root:119.81746590, 179.76884827, 34.98461286, -30.90219641, 53.69564786, 0.0050574999999999995
INFO:root:123.27641581, 183.19592729, 34.65245382, -33.66518194, 54.75703681, 0.0050574999999999995
INFO:root:124.89078299, 179.46693092, 34.75317709, -36.29752465, 53.58131423, 0.0050574999999999995
INFO:root:120.85915682, 176.12512671, 34.70908148, -33.31253494, 52.56575775, 0.0050574999999999995
INFO:root:124.44313816, 186.27521467, 34.31802168, -34.24254911, 55.69349284, 0.0050574999999999995
INFO:root:123.23406036, 176.91094488, 34.33804881, -35.82272571, 52.71465697, 0.0050574999999999995
INFO:root:121.25216561, 175.50061170, 34.69848821, -33.90349184, 52.32500569, 0.0050574999999999995
INFO:root:123.17820492, 181.52677145, 34.41452186, -34.30564951, 54.14338105, 0.0050574999999999995
INFO:root:124.00162979, 177.78150650, 34.19918688, -36.46798880, 53.06087277, 0.0050574999999999995
INFO:root:122.11621575, 171.25663815, 34.18764112, -36.55158097, 51.07393332, 0.0050574999999999995
INFO:root:128.82970060, 174.06104134, 34.92091558, -41.69047033, 51.91333471, 0.0050574999999999995
INFO:root:133.85648709, 178.68352615, 34.00838782, -46.24303915, 53.31271845, 0.0050574999999999995
INFO:root:147.34085094, 170.11521680, 34.37633336, -61.92995029, 50.64928818, 0.004298875
INFO:root:136.82952295, 169.43593723, 33.66141930, -52.33731941, 50.49946280, 0.004298875
INFO:root:166.24577463, 168.27120025, 33.94004646, -81.82436560, 50.14009341, 0.004298875
INFO:root:185.55217967, 166.21516322, 33.45297741, -102.23465036, 49.51713948, 0.004298875
INFO:root:181.31743665, 169.49637382, 33.42265907, -97.04586266, 50.49633441, 0.004298875
INFO:root:142.81113795, 175.69405259, 33.19139753, -56.91152205, 52.43035068, 0.004298875
INFO:root:130.58244363, 178.20766323, 32.78579927, -44.33434297, 53.17799672, 0.004298875
INFO:root:127.55516653, 164.99963379, 33.05862074, -44.99665371, 49.10831403, 0.004298875
INFO:root:125.81119337, 166.24099596, 32.21011980, -43.72877322, 49.49949038, 0.004298875
INFO:root:129.62227724, 165.32068199, 31.85275464, -48.17331528, 49.26742954, 0.004298875
INFO:root:131.68216757, 164.10806120, 31.31187557, -51.13787140, 48.89208728, 0.004298875
INFO:root:123.00033209, 163.86922619, 30.95561052, -42.88395205, 48.80083176, 0.004298875
INFO:root:122.55002199, 163.86198927, 30.54834803, -42.84307524, 48.82011988, 0.004298875
INFO:root:120.67809484, 163.20723502, 30.37655538, -41.33936701, 48.59987655, 0.004298875
INFO:root:120.61795139, 167.10155574, 30.01609551, -40.47138715, 49.75712682, 0.004298875
INFO:root:122.22242452, 163.95601818, 29.72291671, -43.31269995, 48.79730060, 0.004298875
INFO:root:119.36581803, 162.44760383, 29.82100269, -40.81053225, 48.36068943, 0.004298875
INFO:root:119.26080064, 164.73427553, 28.69695096, -41.14356466, 49.08693289, 0.004298875
INFO:root:120.75265750, 168.58376438, 27.97320347, -42.20432248, 50.28550682, 0.004298875
INFO:root:Finished training.
INFO:root:Saved model. Final Checkpoint saves/BouncingBall/kvae/v3/scale=0.3/kvae_state_dict_scale=0.3_79.pth
