INFO:root:Namespace(a_dim=8, batch_size=128, clip=150, dataset='MovingMNIST', device=device(type='cuda'), epochs=200, learning_rate=0.001, lstm_layers=1, model='Enc_Dec', save_every=10, scale=0.3, scheduler_step=100, subdirectory='v3', wandb_on='True')
INFO:root:Starting Encoder-Decoder training for 200 epochs.
INFO:root:Reconstruction Loss, MSE
INFO:root:11819.43213578, 3525.63772626, 0.001
INFO:root:5739.89480634, 1721.60441310, 0.001
INFO:root:4358.85027646, 1363.33934000, 0.001
INFO:root:4038.92339830, 1293.24917302, 0.001
INFO:root:3882.40287329, 1260.99908361, 0.001
INFO:root:3804.51292226, 1243.92300630, 0.001
INFO:root:3752.48641065, 1230.60790156, 0.001
INFO:root:3716.18135522, 1221.49640150, 0.001
INFO:root:3690.35568882, 1215.19320292, 0.001
INFO:root:3667.75558085, 1209.56728309, 0.001
INFO:root:3656.33567617, 1206.99110778, 0.001
INFO:root:3640.83851645, 1202.91719850, 0.001
INFO:root:3626.73828469, 1199.34825457, 0.001
INFO:root:3617.78416593, 1197.45312156, 0.001
INFO:root:3617.68631368, 1197.94445457, 0.001
INFO:root:3604.86621438, 1194.34779895, 0.001
INFO:root:3596.88739272, 1192.44640426, 0.001
INFO:root:3588.08434543, 1189.44273699, 0.001
INFO:root:3578.77084480, 1187.10943518, 0.001
INFO:root:3572.76660156, 1185.67630220, 0.001
INFO:root:3561.05011416, 1182.29775872, 0.001
INFO:root:3558.83275336, 1181.48953118, 0.001
INFO:root:3552.83082430, 1180.08055781, 0.001
INFO:root:3548.00818043, 1178.90925706, 0.001
INFO:root:3548.44389236, 1179.35497875, 0.001
INFO:root:3537.96427294, 1175.85756114, 0.001
INFO:root:3550.98680953, 1180.50891285, 0.001
INFO:root:3534.88936647, 1175.43747765, 0.001
INFO:root:3526.96672810, 1172.71930018, 0.001
INFO:root:3525.89610613, 1172.40787474, 0.001
INFO:root:3528.48799928, 1173.72653327, 0.001
INFO:root:3520.45535321, 1171.67325216, 0.001
INFO:root:3510.66059639, 1168.08479932, 0.001
INFO:root:3512.39947596, 1168.86689694, 0.001
INFO:root:3503.34950966, 1165.96352505, 0.001
INFO:root:3500.88926675, 1165.29983220, 0.001
INFO:root:3508.19427060, 1168.33002483, 0.001
INFO:root:3500.11851136, 1166.23280700, 0.001
INFO:root:3497.67735613, 1165.25106769, 0.001
INFO:root:3494.50303285, 1164.19371183, 0.001
INFO:root:3497.72164186, 1165.13490833, 0.001
INFO:root:3494.69123088, 1164.37075333, 0.001
INFO:root:3492.43980730, 1163.55603887, 0.001
INFO:root:3486.44829033, 1161.36213104, 0.001
INFO:root:3490.00483467, 1162.40575484, 0.001
INFO:root:3479.50562211, 1159.18156498, 0.001
INFO:root:3479.96354740, 1159.35388184, 0.001
INFO:root:3480.59001912, 1159.79196812, 0.001
INFO:root:3470.67066805, 1156.53851404, 0.001
INFO:root:3474.11878301, 1157.75945099, 0.001
INFO:root:3475.11049255, 1158.66975854, 0.001
INFO:root:3469.58491280, 1157.01964644, 0.001
INFO:root:3473.55747277, 1157.99614533, 0.001
INFO:root:3459.50718667, 1153.44472622, 0.001
INFO:root:3460.02523933, 1153.48082808, 0.001
INFO:root:3464.68581852, 1155.08229258, 0.001
INFO:root:3453.97156621, 1151.66457657, 0.001
INFO:root:3456.01612016, 1152.46556414, 0.001
INFO:root:3461.49841824, 1154.64013156, 0.001
INFO:root:3455.28571674, 1152.70691090, 0.001
INFO:root:3451.48373542, 1151.34122779, 0.001
INFO:root:3444.24848702, 1148.95654985, 0.001
INFO:root:3442.31959383, 1148.41542934, 0.001
INFO:root:3442.98076103, 1148.46162694, 0.001
INFO:root:3445.78417625, 1149.54510240, 0.001
INFO:root:3446.22191695, 1149.91732917, 0.001
INFO:root:3444.50854492, 1149.54587437, 0.001
INFO:root:3436.46556929, 1146.61621438, 0.001
INFO:root:3431.64986796, 1145.15554337, 0.001
INFO:root:3436.03635288, 1146.34031484, 0.001
INFO:root:3432.08205532, 1145.43680712, 0.001
INFO:root:3425.77658726, 1143.52270852, 0.001
INFO:root:3433.90990179, 1146.05406855, 0.001
INFO:root:3435.38913265, 1146.79726528, 0.001
INFO:root:3431.01573160, 1145.15850056, 0.001
INFO:root:3423.42553023, 1142.79636781, 0.001
INFO:root:3428.14236493, 1144.65259305, 0.001
INFO:root:3420.53374986, 1142.27721136, 0.001
INFO:root:3419.93414736, 1141.86923175, 0.001
INFO:root:3416.93352498, 1141.02542157, 0.001
INFO:root:3416.07900872, 1140.72021312, 0.001
INFO:root:3415.55602855, 1140.49482663, 0.001
INFO:root:3414.36606995, 1140.15647523, 0.001
